Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Labels,Components,Story Points,Acceptance Criteria
Story,Scaffold Next.js app with Tailwind and routing,"Create base layout, theme, and routing structure (home, catalog, details, auth).",,EPIC-FRONTEND,High,"frontend,setup",frontend,3,"- Pages render locally
- Shared header/footer components"
Story,Catalog grid with search and filters,"Connect to API, show poster grid with pagination, client-side search/filters.",,EPIC-FRONTEND,High,"catalog,ui",frontend,5,"- Grid paginates
- Filters update results
- Loading/empty states handled"
Story,Movie detail page with metadata and trailer,"Display details, cast/crew, similar titles, and embedded trailer if available.",,EPIC-FRONTEND,High,"details,ui",frontend,5,"- Detail page loads by slug
- Trailer embed renders
- Similar titles section present"
Story,"Auth UI: signup, login, forgot/reset password","Forms with validation, success/error messaging, and integration with JWT endpoints.",,EPIC-AUTH,High,"auth,ui",frontend,5,"- Forms validate client-side
- Tokens stored securely
- Redirects after login/logout"
Story,User library: favorites and watchlist pages,Profile area listing favorites/watchlist with remove actions.,,EPIC-AUTH,Medium,"library,ui",frontend,3,"- Lists render and sync
- Empty and error states covered"
Story,Video playback component with caption support,Reusable player that supports HTML5 and common embed providers; load VTT captions when available.,,EPIC-PLAYBACK,Medium,"video,ui",frontend,5,"- Play/pause/seek work
- Captions toggleable
- Fallback for unsupported embeds"
Story,Accessibility pass for core pages (WCAG AA),"Keyboard navigation, focus states, aria labels, color contrast on home, catalog, details, auth.",,EPIC-UX,Medium,"a11y,ux",frontend,3,"- Axe tests pass for key pages
- Keyboard-only nav works"
Story,Basic SEO for public pages,"Meta tags, Open Graph, sitemaps/robots, clean slugs, and pre-rendering for key routes.",,EPIC-UX,Medium,seo,frontend,3,"- Title/description per page
- OG tags valid
- Sitemap generated"
Story,Add web analytics and error monitoring,"Integrate lightweight analytics (e.g., Plausible) and Sentry-style error tracking for FE/BE.",,EPIC-ANALYTICS,Medium,"analytics,monitoring","frontend,backend",3,"- Page views recorded
- Errors visible in dashboard"
Story,"Admin: manage movies, genres, and collections",Use Django Admin to CRUD catalog entities and order collection items.,,EPIC-ADMIN,Medium,"admin,cms",backend,3,"- Admin CRUD works
- Collections orderable"
Story,"Add privacy policy, terms, and takedown page","Static pages and backend endpoints for privacy, terms, and content takedown requests.",,EPIC-COMPLIANCE,Low,"legal,compliance","frontend,backend",2,"- Pages published
- Contact/takedown form submits"
